Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Fire Emblem Fates: Birthright,3DS,81,81,"Fire Emblem Fates: Birthright is a worthy followup to the critically acclaimed Fire Emblem Awakening. Like Awakening Birthright is accessible for new players as well as offering familiar options like permadeath for older fans. The game has a number of difficulty settings consisting of casual, normal, or hard. It also has variations to further augment the difficulty. Phoenix Mode revives allies instantly. In Classic mode if your ally falls they are gone for good. Then there is Lunatic mode which is incredibly punishing.

Phoenix mode feels designed for those that want to enjoy the story while the other modes will appeal to series vets and purists. For those that want a challenge I recommend starting on Hard difficulty. Normal is still a bit too easy and your units will feel pretty overpowered early on even if you are playing on classic mode.

It needs to be said that FE:Fate's presentation is top notch. The cutscenes and character animations are well done. The character models themselves actually have feet! In areas like my castle you can tap the L shoulder button to zoom down and see your surroundings in 3rd person. In battle the camera shifts from top down to also zoom in on your surrounding terrain.

Birthright's story can be best described as standing with your family the Hoshido against the Nohr empire. Conquest on the other hand has you siding with Nohr. But as any Fire Emblem vet can tell you; its a bit more nuanced than that. Birthright and Conquest essentially start the same. At mission 5 you will then branch off into that version's storyline. Birthright is the easier more accessible version. It allows you to grind and fight random battles to build up your party.

Fates introduces some new mechanics that shake up some classic Fire Emblem staples. Weapons no longer take durability damage (aside from staves and rods). The map can be altered using what are called Dragon veins. These spots can create bridges, level mountains and more.

The game also introduces a new area called My Castle. You can build buildings such as shops, mess hall, fishing pond and more. These often offer items that you can use in a number of ways. In my castle you can also invite party members to your private quarters to boost your relationship. The dating sim elements of Awakening have been expanded here in that once you marry you will have new options within your private quarters. You may also have to use the stylus to wake your significant other for instance.

My castle also has a little bit of online multiplayer in it that allows you to siege other player's castles and defend your own as well.

Its advisable to play Birthright first followed by Conquest and then Revelation. Buying physical copies of both is essentially a waste of money because you get the others at a cheaper price as a download once you own one version.

Overall Birthright is excellent part in one of the most expansive Fire Emblem tales to date.",9,2016-08-07,Lone_Wolf_Sones,False
Hearts of Iron IV,PC,267,267,"Hearts of Iron 4, terrible strategy, there are no interesting mechanics in the game, there is no diplomacy, you can’t even start a negotiation process, but hoi4 is a great sandbox, you can make any state great, you can think of anything with the help of mods but without it in the game there is nothing, it is ahead of other games of the studio, such as Europa Universalis IV or Victoria II.

Hearts of Iron 4, ужасная стратегия, в игре нет интересных механник, нету дипломатии, ты даже не можешь начать переговорный процесс, но hoi4 это отличная песочница, ты можешь сделать любое государство великим, можешь придумать что угодно с помощью модов но без этого в игре ничего нету, её опережают другие игры студии, такие как Europa Universalis IV или Victoria II.",5,2022-09-03,eblan1,False
Luigi's Mansion 3,Nintendo Switch,541,500,"watch out kids, this is a scary one! this game contains the most spooky spooks you'll ever see!",10,2021-07-16,MartinCalander,False
The Evil Within,PC,287,287,"Story: 75/100
Gameplay: 85/100
Graphics: 85/100
Music/Soundtrack: 85/100
Main Character(s): 70/100
Side Characters: 50/100
Regular Enemies: 75/100
Bosses/Boss fights: 100/100
World/Level Design: 90/100
Playability (Bugs and optimization after patches): 95/100
Would I Play It Again?: Yes
Where Does It Rank In My Top 500 Video Games of All Time List?: 10

Rating: 90/100",9,2022-01-27,TheBasicReviews,False
Titanfall,Xbox One,790,500,"Multiplayer would be fantastic if it were not so limited. 6v6 is frustrating and top it with bots.

And as the campaign ... hello, this is a campaign?",5,2014-03-20,dgbot07,False
Street Fighter V,PlayStation 4,466,466,"This has got to be one of the most barebones releases I've ever seen, I keep seeing the usual fanboy excuses such as ""more content is coming later"" which isn't good enough. When a game is released it should have at least some form of content, this is just pathetic.

An absolute disgrace ****, even for Capcom this is a new low.",1,2016-02-20,Ozwald,False
FIFA 21,Nintendo Switch,265,265,This is just an exact copy and paste of fifa 2019 not worth a penny or a minute of your time JUST DONT STAY AWAY,0,2020-10-12,Spacefreak001,False
Supreme Commander 2,PC,78,78,"Rating this a 0 because this broke with its predecessor Supreme Commander and its spiritual predecessor Total Annihilation in favor of dumbed down simplicity.  The storyline is laughable tripe but given other RTS's, that is not a huge flaw.  What is more fatal is the removal of the unique resource and tech model and large scale for something more in keeping with other RTS games.",0,2014-02-02,Iracundus,False
Outward,PC,77,77,"This game is a total joke. It seems like an old school RPG at first but they made it ****. You can't jump, you can't save the game and then when you get out of town you die of cold instantly. what a **** CHORE. I don't get why dumb as **** devs make such CHORE games. isn't it supposed to be fun ? Idiots.",0,2021-06-27,username1222,False
Brink,PC,279,279,"Simply not worth playing strictly for the single player. Grenade spam is awful, performance ****, no i see why this got scorched when it came out.",4,2012-03-28,ZootMan,False
Metro Exodus,PC,1307,500,"So I've just finished the game and I'm in shock!
let's start from the pros:
1. the story is amazing. and touching
2. this game is the most atmospheric game I've ever played in my life by a mile.
from all the seasons on the ground or underground simply amazing
3. gun play feels great.
4. the soundtrack makes everything come together i shed a tear from music only.
the cons as far as i'm concerned:
1. movement sometimes feels cluncky
2. sometimes AI is insane on harder difficulty.

so to close the review for metro fans this game is a must, people that enjoy horror post-apocalyptic games will love this game to death. and guys don't listen to the idiot review bombing and making negative reviews because if you read them most of them are about the steam epic store problems outside of that the game is easily 90+ I'm my eyes 9/10
the best story driven fps I've played in years!",9,2019-02-17,vortex100k,False
Call of Duty: Black Ops III,PC,241,241,"Seriously this game, is really overrated. Its terribly bugged and the performance of this cod is horrible, with an i5 at 4,4 ghz and a gtx 780 oc e'd its impossible to play even at low settings the game stutters. Its impossible i have 24 gb of ram and this game stutters like hell. You can disable vsync or enable it nevermind, the stutter will be the same.

And omg the servers are even worse, with people lagging like hell. ( by the way i have a cable 200mb symmetric connection).

This is the worse COD on the series. Even ghosts is a marvelous wonder if you compare both games.",0,2016-03-04,Rivendau,False
Watch Dogs,Xbox 360,83,83,"A very disappointing offering from usually Stellar Ubisoft.

The graphics were quite sub par, especially when Rockstar showed what could be accomplished in GTAV. At times I was wondering if I was looking at polygonal textures on a PS1 when I saw some trees and buildings. The sound design was good and their were a few good musical tracks but the majority were dull. The cycling through each one to find a song you liked was painful and time consuming. All these things could have been forgiven with decent gameplay and alot of variety in missions. However, the gameplay left rough and buggy and missions had you doing the same hack-shoot-escape dynamic that really took away from the fun.

Watchdogs has a great deal of potential to be something great, but much of it is lost in the glaring flaws of the game. Comparing this to GTAV is overdone, but its only because Rockstar had polished their world to a level of masterful perfection while Watchdogs feels like a pre-alpha test run.

A disappointing 4 out of 10",4,2014-09-05,Ramyo,False
Factorio,PC,214,214,"This game deserves every 10/10.
One of the best strategic/logical experience for many years",10,2020-12-12,kaiengelmusic,False
Fight Night Champion,Xbox 360,51,51,The best boxing game ever.,10,2023-11-05,88Freddy88,False
Predator: Hunting Grounds,PlayStation 4,115,115,"My Dad got this game and honestly it is great but is missing key components for what a predator game should be. I feel single player was needed, I just want to mess some AI up as the Predator with so many things to use against them. The controls are pretty good not a lot to say about them. There are many bugs/glitches one of them being when I got to customize my character and I go to see what I unlocked I hover over it and boom there is the skin I got. Then I back out it still says that I still haven't looked at it. The gunplay is decent like there is no recoil which bothers me. When I got this thing called a ""Field Locker"" I was like ok what is this and since I got after leveling up I though it was increased storage for stuff I have unlocked kinda like Minecraft of PUBG too an extent but no it was some stupid ass lootboxes why do game companies rely on stupid business practices but the good thing is it is ONLY cosmetic and you can buy them with in game currency and you earn in game without buying with real world money which is good but get rid of these ok. They should do something like COD with milestones. The predator itself is awesome to see as a Fireteam player, but when being attacked your guns do literally nothing to it. You should get 3 custom class options instead of one, the leveling in this game for unlocks is absurd. Level 100 just for a classic vest like I'm going to be playing this game for that long. I really do hope that the game gets better.",7,2020-05-02,BruhLord420,False
Alien: Isolation,PlayStation 4,371,371,"PHOAW!

I got this on sale on PSN for £9.99 including all DLC - anyone who likes horror games or is into the Alien franchise should give this a go. It is brilliant! The atmosphere, the sound, the tension, and the possibility of multiple styles of play (use distractions or choose full stealth) in a game that tests your patience is why this is a real gem.

It misses out on 10/10 due to pacing issues - it drags when about 50% through.",9,2017-02-24,dyinginbeauty,False
SteamWorld Dig 2,Nintendo Switch,94,94,"Get ready for an axe picking good time!

Rusty, the protagonist from Steamworld Dig one, has gone missing and you play as the fembot Dot whose mission it is to track him down.  Equipped with only her trusty pick axe, you begin building your tool kit of gadgets by yep, you guessed it digging.  Just like it’s predecessor, you dig your own path through the randomly generated per play through mine.  Where you collect resources to sell in order to upgrade your gear.  Throughout the game you earn more advanced gear that is also upgradable, therein lies the loop.  Diving into the deep dark depths of the mine, collecting as much ore as you can carry, before your light runs out, only to make it to the top and come back more powerful than before, is such an addictive gameplay experience that it’s easy to lose track of time while doing it.

Each new section of the world is built specific to your most recently aquired tool, layering skill upon skill, think 2d zelda style, and yes there’s a hook shot.  One moment you're grappling your way across a barren windy desert and the next you're animating molten iron giants with your ignition axe.  Every inch of this world so cleverly designed combined with the fact that you dig your own path , it feels like it was designed just for you. Rewarding you with intuitively hidden secrets and just the right amount of difficulty for the perfect challenge. (desert clip, molten robot, button hook shot puzzle shot)

Steamworld dig two has a lovely cast of characters with a variety ranging from goofy/crazy to prejudicial. The mayor of the town for example, warns you of the shiners, the crazies that live down deep in the mine, well once you get here they're just lovely and help you wholeheartedly . It's amazing that even though I'm a fembot mining my way through this fictitious underground, some things ring real and true.

A very welcome change from the original are the boss fights.  Throughout the game you will encounter many different boss fights, which are a great combination of level design and enemy attack pattern maneuvering.  With your different mechanics that you acquire throughout the game, you have multiple options for defeating every enemy.  Stick that mine roach with a hydrobomb, or shove that fire demon into a pool of water, the choice is yours.

Another upgrade is the length of the game. While steamworld dig one was on the shorter side depending on your play style steamworld dig two can take you well over ten hours to complete. Especially if you like to get your hands dirty.

For a 2d open world, metroidvania experience, steamworld 2 will deliver in every single way.  Some metroidvanias leave me frustrated searching for ways to open the next section of the world but in steamworld 2, taking a wrong turn and getting lost on some random self imposed agenda is half the fun.

Whether it's a great movie, a book, or a video game.  It’s rare that a sequel can perfectly capture the same lightning in a bottle as the original while elevating the franchise to the next level.  Well steamworld dig 2 has done just that.

With an engaging world, rock solid mechanics, and a gameplay loop that will keep you digging for more.

Check out my video review on my YouTube channel TheFlannelFox",9,2017-11-30,TheFlannelFox,False
Persona 5 Strikers,PlayStation 4,154,154,I played Persona 5 Strikers in 2021 and thought it was a good game that I liked.,7,2022-12-19,TK4EVA47,False
Lollipop Chainsaw,PlayStation 3,74,74,"Lollipop Chainsaw is fun and crazy. Wonderful soundtrack, nice graphic, good gameplay, however, is too short, and the camera is unstable. But still an enjoyable game.",8,2012-06-25,god-amaterasu,False
Halo 4,Xbox 360,1174,500,"This could be the triumph for the series, but 343 Industries lost the opportunity. The graphics were impressive at first, but showed to be weak with strange textures, bad draw distance and some bugs. They also destroyed the gameplay, and the only good thing about the game is the online. But even the online is not that awesome as some like to say. It was a complete waste of time.",0,2012-11-06,samuship,False
FIFA 19,PlayStation 4,398,398,"Bad servers, micro-transactions, bad gameplay - Stay away from this game! They're just out on one thing and it's the consumer's money so they can get gold players after they've spent hundreds of dollars",1,2019-04-12,Markowits,False
eFootball PES 2020,PlayStation 4,408,408,The referee stops the game every time I make a tackle and ALWAYS gives me a card - ALWAYS!,1,2020-05-23,Yurchik,False
Devil May Cry 4,PlayStation 3,53,53,"This game is a work of art without words, I really like the devil may cry franchise but specifically this one and devil may cry that I like the most besides its incredible gameplay and story the character that I like to play the most is Nero he is simply incredible. Congratulations To the creators",10,2024-03-09,ItzMiguelkkj,False
Wolfenstein: The New Order,PlayStation 4,360,360,"Крутой шутер с добротным сюжетом что может быть лучше? Очень достойное продолжение серии. Хоть я и не играл в предыдущие игры серии, но, как и все особи мужского пола, с любопытством отношусь к жанру «шутер»! Поэтому прохождение меня очень порадовало, а финальный босс даже заставил попотеть!",8,2018-01-22,Zvezdochet,False
A Way Out,PlayStation 4,269,269,Really Good baseball game its the best baseball game ever literally its a Gold i've neden really Good hundreds hours with playing best baseball game ever...,10,2023-08-16,Egemen2345,False
Grand Theft Auto: San Andreas,PC,466,466,"This game is a man-made masterpiece! Beautiful scenery, lots of weapons, a very good story, lots of cars, variety, everything you need. The development of the game took advantage of every minute of developers to create such a good game. The multiplayer mode was also very cool and all. The GTA series is the best, if not all games are sure that the platform for the job.",10,2013-03-19,huntibor,False
NieR: Automata - Game of the YoRHa Edition,PlayStation 4,120,120,"Normally I would put a pros and cons in my review but honestly I loved everything about this game so I am only going to list my one singular con.

Con:I absolutely hate the map in the game. This game is set in the far flung future and even now we have better mapping technology than they tried to put in this game. For the love of all that is holy fix the mapping functionality in the next game.",9,2020-06-24,Tonarestriga,False
Battlefield V,PlayStation 4,958,500,"GENDERFIELD V-agina
More women,mooooreeee women,moooooreeeee woman!!!
Women win in ww2",0,2018-12-30,GoodVoodka,False
Assassin's Creed: Brotherhood,Xbox 360,192,192,"This game is pretty much amazing.  I was shocked at how much better than ACII was, which I loved.  The combat is better, the assassin management is fun, and there's very little greater than calling your Assassin acolytes to pick off a random guard. The multiplayer was also an amazing surprise, and I regret not picking this up new.  Learned my lesson",10,2011-11-10,BiologyMadman,False
Ghost of Tsushima: Director's Cut,PlayStation 5,1048,500,"One of the most beautiful and engaging open world games of all time. Up there with Breath of the Wild, The Witcher 3, and Horizon Zero Dawn. Simply put, Ghost of Tsushima is a masterpiece. A must-own.",10,2021-08-22,downtownriot,False
Mortal Kombat 1,PlayStation 5,417,417,MK Forever!,10,2023-09-18,GerokoksLDS,False
Mortal Kombat XL,PlayStation 4,94,94,"dos personagens novos, só o takeda presta, a historia tem é bem fraca, sorte que o gameplay é incrível.",8,2020-01-29,maVSmo,False
Assassin's Creed IV: Black Flag,PC,501,500,"Ну, что тут говорить, это легенда игро индустрии. Классная механика морских сражений, новый ввод персонажа в сюжет и в саму гильдию ассассинов(что позже сыграет с игрой злую шутку), да и в принципе классный сюжет с яркими и запоминающимися персонажами. Да задания в анимусе здесь сделаны очень, ОЧЕНЬ скучно и неинтересно, но их мало, поэтому жаловаться не буду. Особенно грустно стало после смерти чёрной бороды",8,2024-03-04,SwabGames,False
Borderlands,PC,268,268,"I really enjoyed this game.  The characters were so different from each other, you could play each of them and it would create a completely different experience.  Yes, the game play is grindy.  But for a game based on the premise of you being a mercenary searching for treasure on an alien planet that was sparsely inhabited, what more do you expect?  Still, the missions require more than standing around shooting at things and the frenzy at which they throw things at you in different ways require that you change things up or die.  Also, the weapons create a different play style based on who you are playing and what you find.  If you find a gun that is really accurate and has a really  high firing rate, it completely changes what skills you put your points into and how you play as opposed to finding a power house that blows people away but takes a long time between shots.  The game is very good and the DLCs are fun.  Playing co-op is the way to go in this game!",8,2012-04-05,VectorX,False
God of War: Ragnarok,PlayStation 4,286,286,this game saved my dog from dying from not playing god of war **** dog decided to play when I go to school and he really liked playing this game.,9,2024-05-15,KieranGamer,False
Dying Light,PC,487,487,"I have to say first I may be a bit biased as I absolutely love zombie games but for me this is everything Dead Island should have been. I still loved Dead Island but Dying Light is just so much better at the story telling. The side missions are generally for an actual purpose and not just there for the sake of being there. The combat is great and the free running I find flawless. During the first nightfall in the game I had my headset cranked and lights all out and man was it intense. You can here the zombies running behind you and it feels like the really are just a few feet behind you and the screams some of them make can sometimes put a shiver down your spine.

If you liked dead island even a little bit then this one should blow you away and the story should be enough to keep anyone's interest. This is simply put just an amazing game.",10,2015-02-26,lpoopl,False
FTL: Faster Than Light,PC,392,392,"i've been hyped for FTL ever since I contributed to their Kickstarter. Now that it's here, I'm not dissapointed at all :)

Graphics - Old school, but very clean. there aren't any options though, including resolution, which makes it look quite bad on stretched fullscreen. More customisation would be nice.

Sound - AMAZING sound design. great effects and a very nice soundtrack, never feels repetitive.

Gameplay - WIN. Even though there really isn't much of a variety of gameplay, It is always fun, very repeatable and VERY hard. it will take you a long time to win the game just once, then so much more to unlock all the content available

Overall - I HIGHLY reccomend it.",9,2012-09-17,ObsidianEagle,False
"Warhammer 40,000: Darktide",PC,98,98,"One of the best graphics in games atm! Addictive gameplay. Feels like most of the players 10+ level already know what to do and how to play the game properly.
Great level design super interesting to explore. Most detailed Warhammer 40K representation in entertainment too date! Hoping for more content soon but this will do for now. Really enjoying this one!",9,2022-12-08,Boogy,False
God of War II,PlayStation 2,246,246,Sony Santa Monica refined the formula further for the second game of the series and expanded the scope of the narrative and gameplay. A near perfect sequel.,9,2021-11-25,AbhinavDasiga,False
Dragon's Dogma: Dark Arisen,PlayStation 3,73,73,"Amazing game, for €30 you can't go wrong.  A must buy for any rpg fan. Can get difficult at times but some level grinding does the trick. The monster encounters are amazing, some of which could last a solid 30 minutes. Great game with great combat, but the story is a little flat but that didn't tarnish the game for me at all.",9,2013-04-30,GMJohn,False
BattleTech,PC,136,136,"When the game works, and it does, sometimes - it's a thrill, with visceral combat full of interesting tactical options and small (5-10) but fairly varied roster of mission types & maps. Weapons have a weight to them and it's incredibly satisfying to bring an enemy mech down. The mercenary tactial/command portion (which you need to get through an hour or two of middling intro gameplay and story exposition to reach) is great, with much more depth than is explained by the tutorials. Watching your c-bills drain and deciding whether to jump in to a contract and risk losing a pilot or wait until repairs are done and field a stronger lance give some gravity to your command decisions as bankruptcy can be just around the corner.

When it doesn't work, though - you'll find:
-  GPU-melting bad optimization which has already destroyed people's graphic cards - a unity game is running GTX1080s at 100% load?
- progress wiped by corrupted saves
- strange graphical glitches (screen-wide motion blur when selecting a specific mech, weapons and mechs clipping through the environment, screen going dark/bright )
- LONG load times (regardless of pc spec)
- odd unit behaviour (walking backwards to a point and then abrubtly swivelling instead of turning while walking, melee attacks not actually connecting)

Verdict:
Wait for a patch - there is a great mech game under the hood but not worth buying yet.",5,2018-04-25,Anreww,False
Sniper Elite III,PC,103,103,"In spite of all the lavish reviews from the MSM and their acolytes on Youtube this is a poor excuse for a sniper game. The feel and presentation is more ""arcade"" than serious sniper fare. Worse still it shoe horns game play into narrow pre-defined scenario's, in spite of its pretensions of being a free world sandbox shooter. To add to the overall feeling of mediocrity are bland controls, odd ball weapons that don't work as advertised and a lack of relevant scenario's that leaves this game feeling more like a watered down WWII version of Hitman but not in a good way.

I can see little to recommend this game and for anyone who really enjoys sniping titles my recommendation is Sniper Ghost Warrior 2 & 3 not this God awful crap.

1/10 from me.",1,2018-11-23,SRKNZ,False
Madden NFL 18,PlayStation 4,64,64,"Unfinished, buggy, ratings are irrelevant, CPU is a God (plays are almost scripted against the CPU), MUT and micro-transactions are shoved down your throat, but who am I kidding, you are going to buy the game because there's nothing else out there. I did, and I regret it ($80 edition too, shame on me.) Wait until the game gets down to $20 before buying it.

Look at all the reviews that are rated 7+. They appear to be written by autobots (generic usernames such as ""PS4Lover"", monotonous texts that basically say the same thing). EA, your product **** and you aren't fooling anybody.",0,2017-09-19,Kp70724yahoo,False
ArcheAge,PC,434,434,"Totally screwed over the founders by offering better rewards and clean servers after the launch was over.  Launch + has been plagued by excessive queues, excessive disconnects, and no response from Trion despite over 2,000 angry founders.  Trust is non-existent at this point.  Could be a fun game if you can get on, stay on, and play for free... if I had it to do over I would not have given them my money.",0,2014-09-17,aetherfyre,False
Beyond: Two Souls,PlayStation 3,611,500,"Giving it 0 to 4 is just plain rude or braindead. And calling it cliche is weird. This game sure has some haters, don't know if its lack of knowledge about what kind of game it is or they have to constantly touch their joysticks, no pun intended. The People that rate it 0-4 you ****. And stop Hating with sentences like: The gameplay is linear, its Like watching a Movie, the graphics are outdated, i dont Like willem dafoe. You are like little picky kids",10,2013-10-09,Joeizzle,False
Mass Effect: Andromeda,PC,1282,500,"ME:A is a long game, it has a whole lot of content and expect around 50-60 hours of playtime for a playthrough. I am just 18 hours in and Im still only at ~20%. The game looks absolutely beautiful at times, the planets and scenery are great. When it comes to the game's looks it has gotten a lot of stick for its animations and faces. Unfortunately the critique has turned into nothing less than a hate train.

The facial animations are sub-par, that much is true. But the game looks and plays amazing otherwise! I don't understand people. ""Let's hate on something, call it a complete failure and trash **** just over one thing!""﻿. If you ask me it's their loss.

The game pays a lot of homage to Mass Effect 1, the first game in the Original trilogy and you can feel that this is still a Mass Effect game, even without our beloved Commander Shepard. It's a great game on its own, it has its issues but in the long run its nothing that takes away from the overall experience, which is a good experience.

The combat gameplay is what really shines through, the fluid animations here are great and presents very enjoyable fights against foes. I also like how they've made it possible for the players to form their own kind of classes by mixing powers, it invites you to try new and different things out and that in turn leads to replayability value. The Multiplayer is pretty fun, but not much has changed from ME3. It's like a very improved version of the mp that we had in ME3, and with the new combat gameplay it's a whole lot more fun. The new mobility invites for new types of combat aswell.

If you love sci-fi then you will enjoy this game, BioWare may not know how to animate faces properly, but they do know how to build immersive and interesting worlds. Epic game that I'd give 8/10, but since I've seen firsthand the kind of undeserved hate it is getting because it's somehow popular now to hate on BioWare and ME, I will give it a 10. I will be enjoying this game for many more hours.",10,2017-03-21,zorK90,False
Horizon Forbidden West: Burning Shores,PlayStation 5,1258,500,"Скучно играть, сюжет — унылая история про любовь, побочки – унылая история про любовь, диалоги хуже чем в Геншин Импакт, котел душный, исследовать в открытом мире нечего. Баги препятствуют прохождению. Ждал выхода ДЛЦ с нетерпением, а в итоге разочарован полностью",3,2023-04-22,bashstuff,False
DmC: Devil May Cry,PlayStation 3,419,419,"Pros: Fun, the only factor that truly matters in the end.

Cons: Doesn't fit source material, would have been better if the characters simply had different names to be a new IP rather than offend what it was supposed to be.

possible Pro or Con: Easy.",8,2013-01-16,lexgamer,False
Child of Light,PlayStation 4,113,113,"A breathtaking experience filled with witty poetic dialogue, an incredible art style, and simple yet rewarding gameplay. This game is completely made up of various little things that work together to make a unique once in a generation experience. We need more like this!",8,2014-04-30,chipotlegasm,False
Need for Speed Unbound,PlayStation 5,419,419,"Gostei do mapa e dos carros, só não gostei desses efeitos de animes e principalmente essa jogabilidade que é a mesma desde o need for Speed 2015!! Se vcs pelo menos voltassem com a Jogabilidade parecida com a do NFS 2 Ou Most Wanted 2005 iria ser incrível",10,2022-12-04,jeffersonsr77,False
Battlefield 3,PC,1627,500,"My biggest problem with the game is that the map design is really bad, it's obvious none of the maps were designed for 64 players, because every map packs players into a tiny area with 3-5 capture points and then funnels every player through unavoidable chokepoints filled with snipers and tanks and men running around with knives.  They've removed all the tactical gameplay that made Battlefields 1942/2/2142 so great, the game turns into a mindless grind with no balance or thought.  Some of the maps are better than others, but there are 4 or 5 out of the 9 that come with the game that are up with the worst from Bad Company 2, which was a sort of mini-console-Battlefield that Battlefield 3 wasn't supposed to be emulating.  Like, two of the nine Battlefield 3 maps are literally linear underground tunnels.  I was extremely disappointed that there isn't a single large-scale map up there with even the mid-sized maps from the old Battlefield games.  If you look at the promo videos which pretty much all involve flying jets (which have no effect on the rest of the game by the way, they're in the game mostly for looks and bullet points I think) the maps look pretty large but all of the capture points are clustered in one tiny area which turns the game into another Call of Duty.  They seem to have focused much more on adding a bunch of annoying leveling features, you start out with nothing and then have to grind your way up to get more gear, eventually you'll unlock weapons like an IR Scope that's basically a dev-endorsed wall-hack or gun addons that remove all of your recoil.  There are some really huge oversights like air vehicles not starting out with countermeasures, which means as soon as you take off you'll be shot down by one of the 12 players on the other team wielding missile launchers, until you grind enough to unlock something to defend yourself.  Nothing in this game is about being ""fun"", it's about being addictive and fulfilling a lot of soulless corporate metrics.  Who cares if the game plays like crap, if you can compel players to grind out a bunch of silly awards?  If you're reading this review 3 months from now, you should probably just avoid, because I suspect it will be really miserable to start out in this game once you're going up against teams of experienced players with leveled upped gear.  I only tried single player for about 2 minutes, within that time I shot a few AK-47 wielding masked terrists and QTE'd a man to death and then QTE jumped from an exploding train, which is way too many QTE's for me.  If you like games that try to look like action movies I think you'll really enjoy this one though.  The only positives I can think of are that the graphics and sound are very nice.  I'm still holding out hope there will be some sort of additional maps or expansion or something that fixes some of the problems, but I really doubt it based on what I've seen so far, Battlefield 3 has already sold like a hojillion copies so I do not think Electronic Arts gives a ****",3,2011-10-31,tbasht,False
NieR: Automata,PlayStation 4,936,500,"Nier Automata was a masterpiece. Yoko Taro did it in my book, the game may not be for everyone but is sure as hell for me. Some may say the Combat was repetitive and in a way it is but only if you limit yourself to the same weapon types. Some also say that the game lacks originality and doesn't imply new mechanics, I mean if it ain't broke why fix it, sure they may not have implemented new mechanics but they sure as hell did a good job the chip system was also great though not explained very well (Chips with a diamond means its the lowest possible Cost it can be, keep that in mind, Don't use the Offensive heal Chips as it makes the game too easy just my preference) but the further you play the more you'll understand. Difficulty wise i think playing on Normal mode is too easy and playing on Hard is probably the best way to play.

Story 10/10 Story really reels you in the more you play it making more complex along the way. Completing side quests also adds to the lore of the overall game though its not necessary its a good way to fill some plot holes from the main story

Gameplay 9/10 Sidequests are a chore and repetitive are what some negative reviews say and in a way they are, BUT and a big but like i said earlier sidequests add to the lore and if you're interested in the lore like i was it becomes less tedious and more exciting as you unravel the stories behind some of the sidequests. Combat wise its a normal hack and slash game that makes it interesting with the combination of weapons for new combos, the bullethell parts which i loved and the 2d, 3d, Top view parts are absolutely fantastic.

Graphics 10/10 graphics were phenomenal and really captured the post apocalyptic feel of the game destroyed buildings, reclaimed areas, broken cars all the little details really add up to the total scenery of the game.

Characters 9/10 I absolutely love the protagonists of the game and were in a way even emotionally invested in them some scenes gave me goosebumps some made me shed a tear some made blow air out of my nose more than usual, but in all seriousness the character development and relationships and interactions between characters really gives the game a lot of points from me. Though the only thing keeping me from giving it that one is the enemies its not as diverse as i'd like it to be they all look somewhat the same though some have different weapons its always better to have a wider variety of looks for regular mobs. All bosses were awesome though.

Sorry if this was a bad review, this was my first one and i actually made a metacritic account just to make this review. I was that in love with the  game that i just had to give it my personal opinions. I don't know if everyone will like it but YOU! yes YOU the one reading this you should cast all doubt aside and buy this. In all honesty i didn't expect a lot from this game was just interested from a post i saw somewhere that you can play a goth Loli with bad ass swrods, i though why not and bought the game thinking its just gonna be some generic Hack and slasher game, but in the end i just shot past my most favorite games of all time up there with the witcher 3 and Last of Us. You will not regret buying this game. You never know you might be looking at the game that will be at your Top list like mine :D",10,2017-07-17,QwertyRevs,False
FIFA Soccer 13,Xbox 360,105,105,"Most of the reviews here are just ridiculous. There is nothing wrong with the first touch feature or the amount of passes that miss or rebounds that occur. They are just fine and add to the experience. Football is not such a straight forward game. The people giving bad reviews are clearly just unskilled at the game or at the very least are looking for an arcade version instead of an at least somewhat realistic football experience.

The game is beautiful and stacked with useful and or cool features. You just have to put a bit of effort to learn the game, you won't master it straight away (and this seems to annoy most of the reviewers here). But once you get the hang of it, you're in for the most true-to-life representation of a football game that has ever been seen on any platform outside of the actual pitch.",10,2012-12-08,juhpu,False
Mafia III,PlayStation 4,481,481,"Просто ужас. Не порадовала меня не графика, не сюжет НИЕГО. Но стоит отметить, что стрельба создана здесь весьма и весьма не плохо.",2,2019-09-15,Poriboshe,False
Final Fantasy VII Rebirth,PlayStation 5,2155,500,"Absolutely stunning. After 3 years of no gaming, final fantasy 7 remake was one of the games on my list and didn't expect much really, it turned out a wonderful experience and the second installment goes even further. Wish all the best to square enix in commercial success and making the whole trilogy a reality",10,2024-03-04,Eritan,False
Call of Duty: Ghosts,PlayStation 3,261,261,"This game is awful, mediocre copy paste FPS, nothing interesting about the story and what little of interest there is if locked by DLC, dont play it!",3,2018-11-15,Leontorres7,False
Call of Duty: Modern Warfare II,PlayStation 5,431,431,Great game i think can be brtter although is amazing i hope change graphics and better gameplay in call of duty 2023,9,2023-08-02,Erfancafbr,False
Bloodborne: The Old Hunters,PlayStation 4,191,191,"The most difficult game in the world. I want to finish this game but unfortunately. I still stuck at the first boss from the beginning until the end. I know you might want to critic on my review. Before you criticize my review, you have to first self-review yourself. Did you ever rate 0 to other games such as Death Stranding and leave comment about that game was the most boring game in the world? Now you should know why I say Bloodborne is the most difficult game in the world. A game for minority is only suitable for certain people. Same like me too, I like to play Death Stranding but doesn't mean that I like to play Bloodborne too.",0,2019-12-02,JunCLJ,False
